empresa,rfc
C**** S****S****,CSS010101**0
S**** B****F****,SBF010101**0
O**** S****E****,EBT010101**6
O**** S****S****,SBF010101**0
 ****,NA
"""**** D****G****",AGE010101**5
 **** A****B****,NA
 **** E****L****,NA
 **** J****F****,NA
 **** M****T****,NA
 **** S****B****,NA
 **** S****D****,NA
 **** S****F****,NA
 **** S****P****,NA
 **** W****S****,NA
 **** C****S****,NA
0****,NA
A**** B****P****,ABP010101**A
A**** E****F****,FOR010101**A
A**** I****E****,EOR010101**1
A**** J****A****,AAM010101**2
B**** A****A****,ND010101**D
B**** A****S****,BAI010101**8
B**** C****S****,BCI010101**A
B**** I****S****,BII010101**1
B**** M****D****,BMN010101**7
B**** M****S****,BMI010101**A
B**** N****D****,BNM010101**1
B**** R****S****,BRM010101**6
B**** S****M****,BSM010101**8
C**** &****C****,CAC010101**3
C**** C****S****,CCO010101**5
C**** C****O****,CCO010101**5
C**** D****A****,CAC010101**3
C**** G****M****,CGM010101**8
C**** I****C****,CIC010101**5
C**** I****G****,GUF010101**1
C**** S****I****,BFS010101**4
C**** S****Y****,CSS010101**0
D****,RIV010101**6
D**** E****M****,DEM010101**9
D**** L****G****,GAC010101**2
D**** M****L****,MAL010101**4
E****,ENV010101**9
E**** A****H****,NA
E**** A****R****,ROE010101**2
E**** B****T****,EBT010101**6
E**** L****C****,LOC010101**A
F****,LUA010101**2
F**** A****M****,AUM010101**0
F**** F****M****,FFM010101**4
F**** J****H****,'1.91E+14
G****,GLO010101**1
G**** A****G****,GOR010101**6
G**** S****D****,GLO010101**1
H****,HAC010101**6
H**** A****L****,HAA010101**1
H**** A****Y****,HAA010101**1
H**** D****P****,HDS010101**9
H**** M****S****,HMI010101**8
I****,IUS010101**8
I**** C****S****,NA
I**** M****D****,IMS010101**5
I**** S****D****,IZA010101**2
I**** Y****C****,ICJ010101**A
J**** A****A****,AUV010101**4
J**** A****R****,ROZ010101**2
J**** C****S****,SOC010101**8
J**** M****C****,CAM010101**4
J**** M****D****,JMA010101**0
J**** J****A****,AEB010101**7
J**** R****B****,BAM010101**9
L****,MAA010101**7
L**** A****R****,ROL010101**0
M****,MOA010101**5 / MCO010101**2
M**** G****J****,MOG010101**3
M**** L****M****,MOR010101**7
M**** M****A****,VIC010101**1
M**** N****O****,OIS010101**X
N****,NA
O****,OAD010101**0 / OPE010101**4
O**** C****C****,OCC010101**7
O**** S****D****,OPE010101**4
P****,PAD010101**3 / PER010101**A
P**** A****S****,PAD010101**3
P**** D****F****,FUT010101**X
P**** Y****D****,PDO010101**2
R****,SUL010101**4 / GOJ010101**8
R**** A****D****,RAD010101**2
R**** K****E****,EAS010101**3
R**** M****T****,MOT010101**1
S****,STE010101**8 / SIN010101**4
S**** D****A****,NA
S**** D****H****,NA
S**** D****T****,STP010101**6
S**** F****E****,SFO010101**2
S**** G****A****,SGD010101**1
S**** I**** ****,NA
S**** I****S****,SIN010101**7
S**** I****C****,NA
S**** P****A****,SIN010101**4
T****,6.71E+08
T**** E****E****,TEE010101**0
T**** H****A****,THV010101**6
T**** T****S****,TTS010101**9
U****,UIB010101**3
U**** G****M****,CGM010101**8
U**** I****A****,UIB010101**3
U**** M****S****,UMA010101**5
V****  ****H****,MOM010101**X
V**** H****M****,MOM010101**4
W****,WAL010101**A
Y**** L****R****,LER010101**7
